whispering excitedly:2
excitedly together:1
was enraged:1
enraged to:1
to see:291
see that:63
that a:69
a couple:32
couple of:29
them weren:1
weren young:1
young at:1
at all:218
that man:2
man had:3
had to:107
be older:1
older than:5
than he:47
and wearing:1
wearing an:1
an emerald:3
emerald green:5
green cloak:2
the nerve:2
nerve of:2
of him:144
but then:21
then it:39
it struck:4
struck mr:1
dursley that:1
that this:39
was probably:12
probably some:1
some silly:1
silly stunt:1
stunt these:1
these people:8
people were:15
were obviously:2
obviously collecting:1
collecting for:1
for something:17
that would:50
would be:211
be it:15
the traffic:4
traffic moved:1
moved on:4
on and:56
and a:502
a few:226
few minutes:12
minutes later:8
dursley arrived:1
the grunnings:1
grunnings parking:1
parking lot:1
mind back:1
back on:27
on drills:3
dursley always:1
always sat:1
sat with:9
with his:223
his back:51
back to:284
to the:1988
window in:7
his office:3
office on:1
the ninth:2
ninth floor:1
if he:299
he hadn:21
he might:38
might have:79
have found:37
found it:36
it harder:2
harder to:5
to concentrate:3
concentrate on:3
drills that:2
that morning:8
he didn:40
didn see:8
see the:122
the owls:7
owls swoop:1
swoop ing:1
ing past:1
past in:1
in broad:3
broad daylight:4
though people:1
people down:1
down in:65
street did:1
they pointed:1
pointed and:3
and gazed:19
gazed open:1
open mouthed:1
mouthed as:1
as owl:1
owl after:1
after owl:1
owl sped:1
sped overhead:1
most of:108
them had:16
never seen:42
seen an:4
an owl:19
owl even:1
even at:14
at nighttime:1
a perfectly:3
owl free:1
free morning:1
he yelled:5
yelled at:3
at five:4
five different:1
different people:1
he made:41
made several:1
several important:1
important telephone:1
telephone calls:2
calls and:1
and shouted:8
shouted a:1
a bit:173
bit more:12
was in:180
in a:774
very good:28
good mood:3
mood until:1
until lunchtime:1
when he:260
thought he:61
he stretch:1
stretch his:1
his legs:37
legs and:16
and walk:4
walk across:1
across the:156
road to:24
to buy:9
buy himself:1
a bun:1
bun from:1
from the:1098
the bakery:1
he forgotten:4
forgotten all:5
all about:90
the people:56
cloaks until:1
until he:63
he passed:29
passed a:7
a group:4
group of:4
them next:2
next to:44
the baker:1
